STATE,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Assam,2005.0,For Begging,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2005.0,For Illicit intercourse,0.16544796322578997,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,0.4883267033181672,-0.2109003634360554,0.31411519833941975,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.2625501850522952,0.1605292269555154
Assam,2005.0,For marriage,3.7824869527748635,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,0.016990316848974757,-0.20467333449894237,6.579671403692898,-0.2109003634360554,4.056565623733543,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,4.383879074440259,3.7377674978443465
Assam,2005.0,For Prostitution,-0.166964173211386,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.09087167096960105,-0.2109003634360554,0.012709794951973582,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.11620706501884616,-0.16822515462753454
Assam,2005.0,For Ransom,-0.14721691758145475,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.030010873805157913,-0.1689658337949181,0.1776341063532671,-0.012407321996980266,-0.10237607949921654,-0.041908810802807485,-0.01703725743962581,-0.1649579981963198,-0.14869519136517514
Assam,2005.0,For Revenge,-0.2031674751995933,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.14944229308858886,-0.2109003634360554,-0.037524438945934116,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.15745785463055462,-0.20403008727519345
Assam,2005.0,For Selling body parts,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2005.0,For Slavery,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2005.0,For unlawful activity,0.03379959235958167,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,1.1344055308200718,-0.22753645591390592,0.5661685761425896,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,0.6868923548219869,-0.2212090749395586,0.030329471873119396
Assam,2005.0,Others,0.356338100981792,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,1.7554276132868611,-0.22753645591390592,3.130496076752118,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,1.6723938119882444,-0.2212090749395586,0.34931887182498966
Assam,2006.0,For Adoption,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2006.0,For Begging,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2006.0,For Illicit intercourse,0.2246897301155837,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,0.5338816316329354,-0.2109003634360554,0.590403484777912,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.33005147714418176,0.21911911674259363
Assam,2006.0,For marriage,3.8713496031095542,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,0.1419893551322168,-0.20467333449894237,6.4885615470633615,-0.2109003634360554,4.8100791322021585,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,4.485131012578089,3.825652332524964
Assam,2006.0,For Prostitution,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
